step,episode,episode_return,episode_len,epsilon,success
14464,225,-0.6400,64,0.9084,0
14528,226,-0.6400,64,0.9080,0
14592,227,-0.6400,64,0.9076,0
14656,228,-0.6400,64,0.9072,0
14720,229,-0.6400,64,0.9068,0
14784,230,-0.6400,64,0.9064,0
14848,231,-0.6400,64,0.9060,0
14912,232,-0.6400,64,0.9056,0
14976,233,-0.6400,64,0.9052,0
15040,234,-0.6400,64,0.9047,0
15104,235,-0.6400,64,0.9043,0
15168,236,-0.6400,64,0.9039,0
15232,237,-0.6400,64,0.9035,0
15296,238,-0.6400,64,0.9031,0
15360,239,-0.6400,64,0.9027,0
15424,240,-0.6400,64,0.9023,0
15488,241,-0.6400,64,0.9019,0
15552,242,-0.6400,64,0.9015,0
15616,243,-0.6400,64,0.9011,0
15680,244,-0.6400,64,0.9007,0
15744,245,-0.6400,64,0.9003,0
15808,246,-0.6400,64,0.8999,0
15872,247,-0.6400,64,0.8995,0
15936,248,-0.6400,64,0.8991,0
16000,249,-0.6400,64,0.8987,0
16064,250,-0.6400,64,0.8983,0
16128,251,-0.6400,64,0.8979,0
16192,252,-0.6400,64,0.8975,0
16256,253,-0.6400,64,0.8970,0
16320,254,-0.6400,64,0.8966,0
16384,255,-0.6400,64,0.8962,0
16448,256,-0.6400,64,0.8958,0
16512,257,-0.6400,64,0.8954,0
16576,258,-0.6400,64,0.8950,0
16640,259,-0.6400,64,0.8946,0
16704,260,-0.6400,64,0.8942,0
16768,261,-0.6400,64,0.8938,0
16832,262,-0.6400,64,0.8934,0
16896,263,-0.6400,64,0.8930,0
16960,264,-0.6400,64,0.8926,0
17024,265,-0.6400,64,0.8922,0
17088,266,-0.6400,64,0.8918,0
17152,267,-0.6400,64,0.8914,0
17216,268,-0.6400,64,0.8910,0
17280,269,-0.6400,64,0.8906,0
17344,270,-0.6400,64,0.8902,0
17408,271,-0.6400,64,0.8897,0
17472,272,-0.6400,64,0.8893,0
17536,273,-0.6400,64,0.8889,0
17600,274,-0.6400,64,0.8885,0
17664,275,-0.6400,64,0.8881,0
17728,276,-0.6400,64,0.8877,0
17792,277,-0.6400,64,0.8873,0
17856,278,-0.6400,64,0.8869,0
17920,279,-0.6400,64,0.8865,0
17984,280,-0.6400,64,0.8861,0
18048,281,-0.6400,64,0.8857,0
18112,282,-0.6400,64,0.8853,0
18176,283,-0.6400,64,0.8849,0
18240,284,-0.6400,64,0.8845,0
18304,285,-0.6400,64,0.8841,0
18368,286,-0.6400,64,0.8837,0
18432,287,-0.6400,64,0.8833,0
18496,288,-0.6400,64,0.8829,0
18560,289,-0.6400,64,0.8825,0
18624,290,-0.6400,64,0.8820,0
18688,291,-0.6400,64,0.8816,0
18752,292,-0.6400,64,0.8812,0
18816,293,-0.6400,64,0.8808,0
18880,294,-0.6400,64,0.8804,0
18944,295,-0.6400,64,0.8800,0
19008,296,-0.6400,64,0.8796,0
19072,297,-0.6400,64,0.8792,0
19136,298,-0.6400,64,0.8788,0
19200,299,-0.6400,64,0.8784,0
19264,300,-0.6400,64,0.8780,0
19328,301,-0.6400,64,0.8776,0
19392,302,-0.6400,64,0.8772,0
19456,303,-0.6400,64,0.8768,0
19520,304,-0.6400,64,0.8764,0
19584,305,-0.6400,64,0.8760,0
19648,306,-0.6400,64,0.8756,0
19712,307,-0.6400,64,0.8752,0
19776,308,-0.6400,64,0.8748,0
19840,309,-0.6400,64,0.8743,0
19904,310,-0.6400,64,0.8739,0
19968,311,-0.6400,64,0.8735,0
20032,312,-0.6400,64,0.8731,0
20096,313,-0.6400,64,0.8727,0
20160,314,-0.6400,64,0.8723,0
20224,315,-0.6400,64,0.8719,0
20288,316,-0.6400,64,0.8715,0
20352,317,-0.6400,64,0.8711,0
20416,318,-0.6400,64,0.8707,0
20480,319,-0.6400,64,0.8703,0
20544,320,-0.6400,64,0.8699,0
20608,321,-0.6400,64,0.8695,0
20672,322,-0.6400,64,0.8691,0
20736,323,-0.6400,64,0.8687,0
20800,324,-0.6400,64,0.8683,0
20864,325,-0.6400,64,0.8679,0
20928,326,-0.6400,64,0.8675,0
20992,327,-0.6400,64,0.8671,0
21056,328,-0.6400,64,0.8666,0
21120,329,-0.6400,64,0.8662,0
21184,330,-0.6400,64,0.8658,0
21248,331,-0.6400,64,0.8654,0
21312,332,-0.6400,64,0.8650,0
21376,333,-0.6400,64,0.8646,0
21440,334,-0.6400,64,0.8642,0
21504,335,-0.6400,64,0.8638,0
21568,336,-0.6400,64,0.8634,0
21632,337,-0.6400,64,0.8630,0
21696,338,-0.6400,64,0.8626,0
